Country_Name,Year,Indicator,Value
USA,2000,index,0.0
USA,2000,index,1.0
USA,2000,index,2.0
USA,2000,index,3.0
USA,2000,index,4.0
USA,2000,index,5.0
USA,2000,index,6.0
USA,2000,index,7.0
USA,2000,index,8.0
USA,2000,index,9.0
USA,2000,index,10.0
USA,2000,index,11.0
USA,2000,index,12.0
USA,2000,index,13.0
USA,2000,index,14.0
USA,2000,index,15.0
USA,2000,index,16.0
USA,2000,index,17.0
USA,2000,index,18.0
USA,2000,index,19.0
USA,2000,index,20.0
USA,2000,index,21.0
USA,2000,index,22.0
USA,2001,index,23.0
USA,2001,index,24.0
USA,2001,index,25.0
USA,2001,index,26.0
USA,2001,index,27.0
USA,2001,index,28.0
USA,2001,index,29.0
USA,2001,index,30.0
USA,2001,index,31.0
USA,2001,index,32.0
USA,2001,index,33.0
USA,2001,index,34.0
USA,2001,index,35.0
USA,2001,index,36.0
USA,2001,index,37.0
USA,2001,index,38.0
USA,2001,index,39.0
USA,2001,index,40.0
USA,2001,index,41.0
USA,2001,index,42.0
USA,2001,index,43.0
USA,2001,index,44.0
USA,2001,index,45.0
USA,2002,index,46.0
USA,2002,index,47.0
USA,2002,index,48.0
USA,2002,index,49.0
USA,2002,index,50.0
USA,2002,index,51.0
USA,2002,index,52.0
USA,2002,index,53.0
USA,2002,index,54.0
USA,2002,index,55.0
USA,2002,index,56.0
USA,2002,index,57.0
USA,2002,index,58.0
USA,2002,index,59.0
USA,2002,index,60.0
USA,2002,index,61.0
USA,2002,index,62.0
USA,2002,index,63.0
USA,2002,index,64.0
USA,2002,index,65.0
USA,2002,index,66.0
USA,2002,index,67.0
USA,2002,index,68.0
USA,2003,index,69.0
USA,2003,index,70.0
USA,2003,index,71.0
USA,2003,index,72.0
USA,2003,index,73.0
USA,2003,index,74.0
USA,2003,index,75.0
USA,2003,index,76.0
USA,2003,index,77.0
USA,2003,index,78.0
USA,2003,index,79.0
USA,2003,index,80.0
USA,2003,index,81.0
USA,2003,index,82.0
USA,2003,index,83.0
USA,2003,index,84.0
USA,2003,index,85.0
USA,2003,index,86.0
USA,2003,index,87.0
USA,2003,index,88.0
USA,2003,index,89.0
USA,2003,index,90.0
